dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
Abel Mesquita Jr,DEM,RR,A favor,7061477,39265.18,Contra,"Sr. Presidente, Sras. e Srs. Deputados, pela estabilidade econômica e a volta do pleno emprego, eu voto sim.",18
Adail Carneiro,PP,CE,A favor,8963739,820189.29,,,0
Adalberto Cavalcanti,PTB,PE,Contra,7597298.75,261250.15,Contra,"Sr. Presidente, eu voto de acordo com o meu partido, o PTB. Eu voto sim.",15
Adelmo Carneiro Leão,PT,MG,Contra,4116583.05,4605723.98,A favor,"Sr. Presidente, um país governado por golpistas, por corruptos, por traidores da Pátria não terápaz nem estabilidade. Enganam aqueles que estão dizendo...
Considerando um país governado dessa forma, em defesa da soberania nacional, da dignidade do povo brasileiro, da soberania popular, eu digo não. O voto é não.",48
Adelson Barreto,PR,SE,A favor,10145850.54,1578895.76,A favor,"Sr. Presidente, em sintonia com a maioria do povo brasileiro, em sintonia com o povo do meu querido Estado de Sergipe, nós votamos pela investigação do Presidente. 
Portanto, voto não ao relatório. ",32
Ademir Camilo,PODE,MG,Não estava no cargo,9619817,536384.4,Contra,"Sr. Presidente, se estivesse aqui, votaria contra o impeachment. Votei contra a terceirização e contra a reforma trabalhista. Vou votar contra a reforma da Previdência. Mas pela estabilidade econômica voto sim. ",31
Adilton Sachetti,PSB,MT,A favor,7610953,778879.95,Contra,"Pelo crescimento do Brasil, eu voto sim.",7
Aelton Freitas,PR,MG,Contra,6767961.54,1685451.83,Contra,"Sr. Presidente, pela estabilidade econômica do País e pela continuação das reformas necessárias, Aelton Freitas vota sim.",17
Afonso Florence,PT,BA,Contra,5370000,2119199.81,A favor,"Sr. Presidente, Sras. Deputadas, Srs. Deputados, povo brasileiro, as provas são muito consistentes e legalmente coligidas pela Procuradoria Geral da República.
Por isso, eu voto não ao relatório e sim ao prosseguimento das investigações.
Voto também com o movimento popular e sindical, com a Frente Brasil Popular e a Frente Povos sem Medo, com os trabalhadores do serviço público, agricultores familiares, com os indígenas, com os quilombolas, com as mulheres, com os LGBTs.
Fora, Temer! Diretas já!",77
Afonso Hamm,PP,RS,A favor,9135074,2599856.82,A favor,"Presidente, é com convicção, com responsabilidade, pelo povo brasileiro que eu voto não ao relatório e a favor de que a investigação prossiga pelo Supremo Tribunal Federal.",27
Afonso Motta,PDT,RS,Contra,7324361.78,1730238.4,A favor,Voto não ao parecer. Investigar é preciso. Esta é a posição do PDT.,13
Aguinaldo Ribeiro,PP,PB,A favor,10033523,1185766.31,Contra,"Sr. Presidente, como eu jáhavia exposto na minha fala, eu voto com o Relator, voto sim.",16
Alan Rick,DEM,AC,A favor,6500000,192579.14,A favor,"Sr. Presidente, votando sempre com a minha consciência e em respeito ao desejo dos meus eleitores, eu voto não ao relatório e sim à abertura das investigações.",27
Alberto Fraga,DEM,DF,A favor,3000000,0,Contra,"Sr. Presidente, pela estabilidade do País e para que o Brasil não se torne uma Venezuela, que é o que eles querem, meu voto é sim.",26
Alceu Moreira,PMDB,RS,A favor,6650012.1,1680051.1,Contra,"Por absoluta falta de prova de uma acusação inepta e irresponsável, a favor de quem trabalha, luta e produz neste País, eu voto sim.",24
Alessandro Molon,Rede,RJ,Contra,1445748.4,4120345.13,A favor,"Quando cheguei a esta Casa, prometi cumprir e defender a Constituição. As provas de que Temer praticou crimes são indiscutíveis. A Câmara não pode obstruir a Justiça.
Por tudo isso, Presidente, voto não ao relatório que quer engavetar a denúncia.",40
Alex Canziani,PTB,PR,A favor,6442233,1199279.33,Contra,"Sr. Presidente, votar sim não significa dizer que o Presidente éinocente. Mas votar sim significa votar com as reformas, com o desenvolvimento, com um País melhor para todos nós. Voto sim, pelo Brasil! ",33
